Titulo Recomendado
Cómo tocar "Cheques" de Spinetta en el bajo - Tutorial Bajo
Bajan - Pescado Rabioso (bajo cover + TABS + PARTITURA)
Tres Agujas - Luis Alberto Spinetta & Lito Vitale (Bass cover)
Spinetta Jade - Digital Ayatollah - Linea de bajo por Leandro Diaz Lasserre
Explicado - Como tocar "Mundo disperso" de Luis Alberto Spinetta en el bajo tutorial#444
No Te Alejes Tanto De Mí - Cover de Bajo + TAB Original | Luis Alberto Spinetta @SpinettaOficial
Post-Crucifixión - Cover de BAJO (con TABS)
Durazno Sangrando - Invisible Bass Cover & Tabs | Tablatura de bajo
EL ANILLO DEL CAPITAN BETO - Luis Alberto Spinetta - Bass Tab #014
Luis Alberto Spinetta - Seguir Viviendo Sin Tu Amor (Bass Tab)
Luis Alberto Spinetta - Oboi (Bass cover)
Análisis de audio: Luis Alberto Spinetta.
Explicado - Como tocar "Cheques" de Luis Alberto Spinetta en el bajo tutorial#101
Explicado - Como tocar "Nasty people" de Luis Alberto Spinetta en el bajo tutorial#357
Tu vuelo al fin (Spinetta) - bajo
Explicado - Como tocar "Ganges" de Luis Alberto Spinetta en el bajo tutorial#442
Cheques - L. A. Spinetta Bass Cover
Explicado - Como tocar "Tu nombre sobre mi nombre" de Luis Alberto Spinetta en el bajo tutorial#110
Halo Lunar (Spinetta-) Cover Bajo Eléctrico
Bajan - Spinetta Bass Cover
